date,time_utc,lat,lon,pressure_hpa,wind_kt
2020-05-16,0000,10.4,87.0,1000,25
2020-05-16,0300,10.7,86.5,1000,25
2020-05-16,0600,10.9,86.3,1000,25
2020-05-16,0900,10.9,86.3,998,30
2020-05-16,1200,10.9,86.3,996,35
2020-05-16,1500,11.0,86.2,995,40
2020-05-16,1800,11.1,86.1,995,40
2020-05-16,2100,11.3,86.1,994,45
2020-05-17,0000,11.4,86.0,992,45
2020-05-17,0300,11.4,86.0,990,50
2020-05-17,0600,11.5,86.0,988,55
2020-05-17,0900,11.7,86.0,980,65
2020-05-17,1200,12.0,86.0,978,70
2020-05-17,1500,12.8,86.2,978,70
2020-05-17,1800,12.5,86.1,970,80
2020-05-17,2100,12.9,86.4,962,90
2020-05-18,0000,13.2,86.3,952,100
2020-05-18,0300,13.3,86.2,936,115
2020-05-18,0600,13.4,86.2,930,120
2020-05-18,0900,13.7,86.2,930,120
2020-05-18,1200,14.0,86.3,926,125
2020-05-18,1500,14.5,86.4,926,125
2020-05-18,1800,14.9,86.5,920,130
2020-05-18,2100,15.2,86.6,920,130
2020-05-19,0000,15.6,86.7,926,125
2020-05-19,0300,16.0,86.8,930,120
2020-05-19,0600,16.5,86.9,936,115
2020-05-19,0900,17.0,86.9,942,110
2020-05-19,1200,17.4,87.0,946,105
2020-05-19,1500,18.1,87.1,950,100
2020-05-19,1800,18.4,87.2,950,100
2020-05-19,2100,18.7,87.2,950,100
2020-05-20,0000,19.1,87.5,954,95
2020-05-20,0300,19.8,87.7,958,90
2020-05-20,0600,20.6,88.0,960,90
2020-05-20,0900,21.4,88.1,960,90
2020-05-20,1200,21.9,88.4,968,80
2020-05-20,1500,22.7,88.6,978,65
2020-05-20,1800,23.3,89.0,984,50
2020-05-20,2100,24.2,89.0,986,45
2020-05-21,0000,24.2,89.3,988,40
2020-05-21,0300,24.7,89.5,990,35
2020-05-21,0600,25.0,89.6,992,30
2020-05-21,1200,25.4,89.6,995,20
